Team,Player,Pos
ATL,Saddiq Bey,SF
ATL,Bogdan Bogdanovic,SG
ATL,Clint Capela,C
ATL,John Collins,PF
ATL,Jarrett Culver,SF
ATL,Bruno Fernando,C
ATL,Trent Forrest,SG
ATL,AJ Griffin,SF
ATL,Aaron Holiday,PG
ATL,Justin Holiday,SF
ATL,De'Andre Hunter,SF
ATL,Jalen Johnson,SF
ATL,Frank Kaminsky,C
ATL,Vit Krejci,PG
ATL,Tyrese Martin,SG
ATL,Garrison Mathews,SG
ATL,Dejounte Murray,SG
ATL,Onyeka Okongwu,C
ATL,Donovan Williams,SG
ATL,Trae Young,PG
BOS,Malcolm Brogdon,PG
BOS,Jaylen Brown,SF
BOS,Justin Champagnie,SF
BOS,JD Davison,SG
BOS,Blake Griffin,C
BOS,Sam Hauser,SF
BOS,Al Horford,C
BOS,Justin Jackson,SF
BOS,Mfiondu Kabengele,PF
BOS,Luke Kornet,C
BOS,Mike Muscala,C
BOS,Payton Pritchard,PG
BOS,Marcus Smart,PG
BOS,Jayson Tatum,SF
BOS,Noah Vonleh,C
BOS,Derrick White,SG
BOS,Grant Williams,PF
BOS,Robert Williams,C
BRK,Mikal Bridges,SG
BRK,Moses Brown,C
BRK,Nic Claxton,C
BRK,Seth Curry,SG
BRK,Spencer Dinwiddie,PG
BRK,David Duke Jr.,SG
BRK,Kevin Durant,PF
BRK,Kessler Edwards,SF
BRK,Dorian Finney-Smith,PF
BRK,RaiQuan Gray,PF
BRK,Joe Harris,SF
BRK,Kyrie Irving,PG
BRK,Cameron Johnson,PF
BRK,Patty Mills,PG
BRK,Markieff Morris,PF
BRK,Nerlens Noel,C
BRK,Royce O'Neale,SF
BRK,Day'Ron Sharpe,C
BRK,Ben Simmons,PG
BRK,Dru Smith,SG
BRK,Edmond Sumner,SG
BRK,Cam Thomas,SG
BRK,T.J. Warren,PF
BRK,Yuta Watanabe,SF
BRK,Alondes Williams,SG
CHO,LaMelo Ball,PG
CHO,James Bouknight,SG
CHO,Gordon Hayward,SF
CHO,Kai Jones,C
CHO,Theo Maledon,PG
CHO,Cody Martin,SF
CHO,Jalen McDaniels,SF
CHO,Bryce McGowens,SG
CHO,Svi Mykhailiuk,SF
CHO,Kelly Oubre Jr.,SF
CHO,Mason Plumlee,C
CHO,Nick Richards,C
CHO,Terry Rozier,SG
