Team,Player,Pos
ATL,Saddiq Bey,SF
ATL,Bogdan Bogdanovic,SG
ATL,Kobe Bufkin,SG
ATL,Clint Capela,C
ATL,Bruno Fernando,C
ATL,Trent Forrest,SG
ATL,AJ Griffin,SF
ATL,Mouhamed Gueye,PF
ATL,De'Andre Hunter,SF
ATL,Jalen Johnson,SF
ATL,Vit Krejci,PG
ATL,Seth Lundy,SF
ATL,Garrison Mathews,SG
ATL,Wesley Matthews,SG
ATL,Patty Mills,PG
ATL,Dejounte Murray,SG
ATL,Onyeka Okongwu,C
ATL,Dylan Windler,SF
ATL,Trae Young,PG
BOS,Dalano Banton,PG
BOS,Oshae Brissett,SF
BOS,Jaylen Brown,SF
BOS,JD Davison,SG
BOS,Sam Hauser,SF
BOS,Jrue Holiday,PG
BOS,Al Horford,C
BOS,Luke Kornet,C
BOS,Svi Mykhailiuk,SF
BOS,Drew Peterson,PF
BOS,Kristaps Porzingis,C
BOS,Payton Pritchard,PG
BOS,Neemias Queta,C
BOS,Jaden Springer,SG
BOS,Lamar Stevens,PF
BOS,Jayson Tatum,PF
BOS,Xavier Tillman Sr.,PF
BOS,Jordan Walsh,SF
BOS,Derrick White,SG
BRK,Keita Bates-Diop,SF
BRK,Mikal Bridges,SF
BRK,Armoni Brooks,PG
BRK,Nic Claxton,C
BRK,Noah Clowney,PF
BRK,Spencer Dinwiddie,PG
BRK,Dorian Finney-Smith,PF
BRK,Harry Giles,C
BRK,Jacob Gilyard,PG
BRK,Cameron Johnson,PF
BRK,Keon Johnson,SG
BRK,Dariq Whitehead,SF
BRK,Royce O'Neale,SF
BRK,Dennis Schroder,PG
BRK,Day'Ron Sharpe,C
BRK,Ben Simmons,PG
BRK,Dennis Smith Jr.,PG
BRK,Cam Thomas,SG
BRK,Lonnie Walker IV,SG
BRK,Trendon Watford,PF
BRK,Jalen Wilson,PF
CHO,Amari Bailey,PG
CHO,LaMelo Ball,PG
CHO,Davis Bertans,PF
CHO,Leaky Black,SF
CHO,Marques Bolden,C
CHO,James Bouknight,SG
CHO,Miles Bridges,SF
CHO,Seth Curry,SG
CHO,Gordon Hayward,SF
CHO,Theo Maledon,PG
CHO,Tre Mann,PG
CHO,Cody Martin,SF
CHO,Bryce McGowens,SG
CHO,Nathan Mensah,C
CHO,Vasilije Micic,PG
CHO,Brandon Miller,SF
